City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Damietta,EG,31.4165,31.8133,69.82,81,0,4.79,clear sky
198,Pacocha,PE,-17.5833,-71.3333,61.07,84,80,3.91,broken clouds
199,Panaba,MX,21.2833,-88.2667,75.56,92,78,11.12,broken clouds
200,Urengoy,RU,65.9667,78.3667,33.58,81,100,16.71,overcast clouds
201,Muroto,JP,33.2833,134.15,72.0,63,0,5.48,clear sky
202,Hofn,IS,64.2539,-15.2082,49.44,76,80,9.95,broken clouds
203,Bambanglipuro,ID,-7.95,110.2833,83.84,62,76,5.53,broken clouds
204,San Juan,AR,-31.5375,-68.5364,47.03,48,60,1.79,broken clouds
205,Saint George,US,37.1041,-113.5841,86.59,7,0,8.05,clear sky
206,Aklavik,CA,68.2191,-135.0107,44.29,80,100,0.87,overcast clouds
207,Ambagarh Chauki,IN,20.7833,80.7167,101.55,12,96,3.89,overcast clouds
208,Walvis Bay,NA,-22.9575,14.5053,70.68,25,49,19.44,scattered clouds
209,Chimoio,MZ,-19.1164,33.4833,58.21,79,99,7.67,overcast clouds
210,Naze,JP,28.3667,129.4833,71.4,91,91,10.58,overcast clouds
211,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,71.89,98,89,0.92,overcast clouds
212,Zhigansk,RU,66.7697,123.3711,61.9,59,24,12.59,few clouds
213,Kieta,PG,-6.2167,155.6333,83.59,72,9,5.35,light rain
214,Nuuk,GL,64.1835,-51.7216,41.61,60,39,10.36,scattered clouds
215,Kodiak,US,57.79,-152.4072,69.31,28,0,3.44,clear sky
216,Araguacu,BR,-12.9306,-49.8264,73.89,44,99,4.9,overcast clouds
217,Tuktoyaktuk,CA,69.4541,-133.0374,33.57,84,100,9.48,overcast clouds
218,Olinda,BR,-8.0089,-34.8553,76.73,94,75,4.61,broken clouds
219,Bonthe,SL,7.5264,-12.505,78.78,86,75,6.67,broken clouds
220,Georgetown,MY,5.4112,100.3354,85.95,74,40,11.5,scattered clouds
